Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
reactortornode,UA,66702,414,78.109.24.109,tornode.torreactor.ml,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2016-12-18,HOSTING-AS http://hosting.ua- UA,41665,109000,None
xshells,PL,54207,119,178.217.187.39,tor-exit.xshells.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-09-14,HOSTEAM-AS - PL,51290,164000,[2001:67c:2044:3226::2]:443
IPredator,LR,47034,121,197.231.221.211,exit1.ipredator.se,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.0.1-alpha on Linux,0,0,2014-04-19,CYBERDYNE- LR,37560,196000,None
csailmitexit,US,42092,198,128.52.128.105,tor-exit.csail.mit.edu,443,80,0,1,1,0,0,0,1,1,1,Tor 0.2.8.9 on FreeBSD,0,0,2013-10-02,MIT-GATEWAYS - Massachusetts Institute of Technology- US,3,78900,None
aurora,RO,42016,329,176.126.252.12,aurora.enn.lu,8080,21,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-04-09,ALISTAR-AS - RO,60118,97500,[2a02:59e0:0:7::12]:81
Onyx,NL,40113,42,192.42.115.102,onyx.ip-eend.nl,9004,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-04-22,SURFNET-NL SURFnet- The Netherlands- NL,1103,189000,[2001:610:510:115:192:42:115:102]:9004
hviv104,NL,38568,630,192.42.116.16,tor-exit.hartvoorinternetvrijheid.nl,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.10 on Linux,0,0,2014-04-09,IP-EEND-AS IP-EEND BV- NL,1101,125000,None
Kali,DE,34659,153,84.16.241.100,kali.exit.torworld.org,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-12-04,LEASEWEB-DE - DE,28753,20,None
legalize,DE,34099,1292,213.202.233.36,srv1035.dedi.server-hosting.expert,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.8.9 on Linux,0,0,2016-08-12,UNITEDCOLO-AS - DE,13301,41000,None
apx2,NL,33990,267,185.38.14.171,tor-exit.r2.apx.pub,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.0.1-alpha-dev on Linux,0,0,2015-02-02,YISP-AS - NL,58073,73500,None
cry,NL,33582,42,192.42.115.101,cry.ip-eend.nl,9003,8080,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-04-22,SURFNET-NL SURFnet- The Netherlands- NL,1103,107000,[2001:610:510:115:192:42:115:101]:9003
dopper,NL,33426,42,192.42.113.102,freedom.ip-eend.nl,9001,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-04-22,SURFNET-NL SURFnet- The Netherlands- NL,1103,157000,None
PrivacyRepublic0001,FR,33388,446,178.32.181.96,tor-exit-node.1.privacyrepublic.org,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2014-11-21,OVH - FR,16276,216000,None
chulak,RO,32925,329,176.126.252.11,chulak.enn.lu,9001,443,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-04-09,ALISTAR-AS - RO,60118,52700,[2a02:59e0:0:7::11]:9003
orion,LU,32539,82,94.242.246.24,orion.enn.lu,8080,23,0,1,1,0,0,0,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-04-29,ROOT - LU,5577,121000,[2a01:608:ffff:ff07::1:24]:9004
quadhead,DE,32100,879,148.251.190.229,tor3.quadhead.de,9010,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2015-01-19,HETZNER-AS - DE,24940,127000,[2a01:4f8:211:c68::2]:9010
nastja,NL,31416,772,134.19.177.109,static.hosted-by.global-layer.com,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2015-12-06,GLOBALLAYER - NL,57172,155000,None
0x3d002,FR,30194,1259,91.121.23.100,0x3d.lu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.0.0-alpha-dev on Linux,0,0,2014-04-22,OVH - FR,16276,105000,None
amazonas,NL,29537,1817,77.247.181.163,lumumba.torservers.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.3-alpha on Linux,0,0,2014-02-13,NFORCE - NL,43350,48300,[2a00:1768:1001:21::32a3:201a]:443
redjohn,FR,29412,412,62.210.92.11,redjohn.tk,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2014-11-17,AS12876 - FR,12876,127000,[2001:bc8:338c::1]:9001
splitDNA,FR,29365,330,62.210.82.44,splitdna.com,21,143,0,0,1,1,0,1,1,1,1,Tor 0.3.0.1-alpha-dev on Linux,0,0,2014-04-08,AS12876 - FR,12876,200000,[2001:bc8:3d7c::]:21
0x3d001,FR,28722,1259,91.121.23.100,0x3d.lu,8001,8030,0,0,1,1,0,1,1,1,1,Tor 0.3.0.0-alpha-dev on Linux,0,0,2016-05-31,OVH - FR,16276,134000,None
radia2,FR,27918,335,91.121.230.212,relay2.radia.tor-relays.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-08-10,OVH - FR,16276,134000,[2001:41d0:d:22a6::1:4]:9001
apx3,NL,27819,267,37.220.35.202,tor-exit.r3.apx.pub,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.0.1-alpha-dev on Linux,0,0,2015-07-26,YISP-AS - NL,58073,65000,None
ArachnideFR5,FR,27718,1597,62.210.206.25,arachnidefr94.torproxy-readme-arachnide-fr-35.fr,110,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2015-04-04,AS12876 - FR,12876,124000,None
MilesPrower,FR,26959,368,62.210.129.246,relay1.tor.openinternet.io,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-01-28,AS12876 - FR,12876,93400,None
apx1,NL,25582,267,185.38.14.215,tor-exit.r1.apx.pub,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.0.1-alpha-dev on Linux,0,0,2014-11-04,YISP-AS - NL,58073,50900,None
redjohn1,FR,25280,392,62.210.92.11,redjohn.tk,9101,9130,0,0,1,1,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2014-12-09,AS12876 - FR,12876,106000,[2001:bc8:338c::1]:9101
Merlin,FR,25123,153,163.172.135.18,merlin.exit.torworld.org,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-10-25,AS12876 - FR,12876,20,None
politkovskaja2,NL,25095,1817,77.247.181.165,politkovskaja.torservers.net,110,None,0,1,1,1,0,1,1,1,0,Tor 0.2.9.3-alpha on Linux,0,0,2014-02-13,NFORCE - NL,43350,62800,None
tollana,SK,25025,329,85.248.227.164,85.248.227.164,9002,444,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-01-22,GTS-SK-AS Bratislava- Slovak Republic- CZ,5578,41100,[2a00:1298:8011:212::164]:9004
inky,CH,24968,184,82.220.89.53,dynamic-82-220-89-53.ftth.solnet.ch,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-11-15,SOLNET - CH,9044,124000,None
Unnamed,FR,24957,3240,46.105.100.149,secreto21.idfnv.net,9001,None,0,1,1,1,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2016-08-21,OVH - FR,16276,87400,None
jes,GB,24540,75,138.68.140.215,tor-relay.jes.xxx,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2016-09-02,DIGITALOCEAN-ASN-2 - GB,202109,100000,None
DFRI1,SE,24424,2534,171.25.193.77,tor-exit1-readme.dfri.se,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on FreeBSD,0,0,2012-02-02,DFRI-AS - SE,198093,52000,[2001:67c:289c:3::77]:443
Dylan,FR,24379,153,212.47.253.151,dylan.exit.torworld.org,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-10-23,AS12876 - FR,12876,20,None
Daphne,FR,24361,153,51.15.39.2,daphne.exit.torworld.org,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-10-27,AS12876 - FR,12876,20,None
xerileez177,DE,24151,188,89.144.12.15,89.144.12.15,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-12-27,ASGHOSTNET - DE,12586,62500,None
henkdefriemel,NL,23709,104,84.245.27.209,84-245-27-209.dsl.cambrium.nl,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2014-10-17,CAMBRIUM-AS - NL,25596,83600,None
malene,NL,22546,4041,185.73.220.8,185.73.220.8,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2016-07-19,HOSTISERVER - Hostiserver Ltd- AI,32338,162000,None
andregorz0,RO,22405,336,109.163.234.7,edwardsnowden0.torservers.net,443,80,0,1,1,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-11-15,VOXILITY - RO,3223,68100,None
Unnamed,RU,22303,694,191.96.249.110,191.96.249.110,9001,None,0,1,1,1,0,1,1,1,0,Tor 0.2.8.9 on Linux,0,0,2016-08-21,ASDMZHOST - NL,64484,62800,None
DC225TorExitNode,DE,22251,296,46.101.98.208,46.101.98.208,9001,9030,0,1,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-08-31,DIGITALOCEAN-GERMANY - DE,201229,20,None
edwardsnowden2,RO,22204,336,109.163.234.9,edwardsnowden2.torservers.net,443,80,0,1,1,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-11-15,VOXILITY - RO,3223,77300,None
destiny,LU,22178,82,94.242.246.23,destiny.enn.lu,9001,443,0,1,1,0,0,0,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-04-29,ROOT - LU,5577,73200,[2a01:608:ffff:ff07::1:23]:9003
politkovskaja,NL,22156,1817,77.247.181.165,politkovskaja.torservers.net,443,None,0,1,1,1,0,1,1,1,0,Tor 0.2.9.3-alpha on Linux,0,0,2014-02-13,NFORCE - NL,43350,88400,None
DFRI4,SE,22127,2531,171.25.193.78,tor-exit4-readme.dfri.se,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on FreeBSD,0,0,2014-06-08,DFRI-AS - SE,198093,42800,[2001:67c:289c:3::78]:443
radia1,FR,22093,335,91.121.230.210,relay1.radia.tor-relays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-08-10,OVH - FR,16276,101000,[2001:41d0:d:22a6::1:2]:443
Alastor,FR,22045,345,62.210.123.24,62-210-123-24.rev.poneytelecom.eu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-03-01,AS12876 - FR,12876,111000,[2001:bc8:30c6:100::dead]:443
ori,SK,21401,329,85.248.227.163,85.248.227.163,9001,443,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-01-22,GTS-SK-AS Bratislava- Slovak Republic- CZ,5578,34100,[2a00:1298:8011:212::163]:9003
belalugosidead,GB,21282,1428,217.20.23.204,217.20.23.204,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.7 on Linux,0,0,2016-07-03,DATAHOP Datahop - International IP Backbone- GB,6908,95100,None
MariaBonita,GB,21230,627,139.59.172.93,139.59.172.93,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-05-04,DIGITALOCEAN-ASN-2 - GB,202109,108000,None
Smeerboel,NL,21121,347,192.87.28.82,anonymous6.sec.nl,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on FreeBSD,0,0,2014-07-06,SMEERBOEL-AS SMEERBOEL BV- EU,1102,93900,None
3cce3a91f6a625,NL,20907,280,85.145.173.31,31-173-145-85.ftth.glasoperator.nl,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-04-12,WIERICKE - NL,50266,83900,None
PhantomTrain7,US,20854,991,65.19.167.130,65.19.167.130,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-11-24,HURRICANE - Hurricane Electric- Inc.- US,6939,43300,None
PhantomTrain4,US,20843,4706,65.19.167.131,65.19.167.131,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2015-12-11,HURRICANE - Hurricane Electric- Inc.- US,6939,50300,None
regar42,FR,20800,203,62.210.244.146,regar42.fr,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-03-15,AS12876 - FR,12876,61800,[2001:bc8:3680:4242::1]:9001
redteam01,US,20696,1788,209.222.77.220,tor-relay.redteam.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-08-28,ST-BGP - Sharktech- US,46844,115000,None
theblazehenTor,FR,20554,3611,188.138.17.37,atlantic580.serverprofi24.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-01-18,PLUSSERVER-AS - DE,8972,92100,None
kramse2,DK,20449,392,185.129.62.63,tor02.zencurity.dk,9001,9030,0,1,1,0,0,1,1,1,1,Tor 0.2.8.9 on FreeBSD,0,0,2016-01-08,ZENCURITY-NET - DK,57860,75700,[2a06:d380:0:3700::63]:9001
marylou1,FR,20134,280,89.234.157.254,marylou.nos-oignons.net,443,80,0,1,1,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-11-18,TETANEUTRAL-NET-AS - FR,197422,67400,[2001:67c:2608::1]:443
SECxFreeBSD64,NL,19985,510,195.169.125.226,anonymous.sec.nl,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.4-alpha on FreeBSD,0,0,2014-04-13,SURFNET-NL SURFnet- The Netherlands- NL,1103,91300,None
Unnamed,NL,18752,347,192.42.116.161,anonymous.as1101.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.4-alpha on FreeBSD,0,0,2013-12-13,IP-EEND-AS IP-EEND BV- NL,1101,60100,None
HelpCensoredOnes,LU,18730,93,85.93.218.204,tor.localhost.lu,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2015-06-12,AS9008 Luxembourg- LU,9008,37300,None
FOXACID,NL,18606,390,185.38.14.214,Zelda.10G.Chmuranet.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2016-08-17,YISP-AS - NL,58073,94500,None
GrmmlLitavis,FR,18550,329,163.172.194.53,par01.eu.grmml.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-02-01,AS12876 - FR,12876,31200,[2001:bc8:225f:142:6c69:7461:7669:73]:9001
memcpy,FR,18375,167,163.172.67.180,tor-exit-readme.memcpy.io,8081,8082,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-11-09,AS12876 - FR,12876,95600,None
ins0,AT,18287,1798,193.171.202.146,tor2e.ins.tor.net.eu.org,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.8.7 on Linux,0,0,2015-10-16,ACONET ACOnet Backbone- AT,1853,34600,None
OVPNdotSE,SC,18282,135,165.231.0.242,tor01.prd.kista.ovpn.se,443,80,0,1,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-10-16,OBENETWORK - SE,197595,39000,None
HumanistischeUnion,DE,18196,331,193.24.209.70,24vitation.com,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-03-31,ASGHOSTNET - DE,12586,93200,None
poiuty,FR,18170,291,5.39.64.7,ns3060920.ip-5-39-64.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-01-26,OVH - FR,16276,81100,None
radia3,FR,18150,335,91.121.230.214,relay3.radia.tor-relays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-08-10,OVH - FR,16276,83200,[2001:41d0:d:22a6::1:6]:443
Zitroneneis,DE,18041,86,78.47.224.222,static.222.224.47.78.clients.your-server.de,443,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.8 on Linux,0,0,2016-06-22,HETZNER-AS - DE,24940,66700,None
marylou2,FR,17762,280,89.234.157.254,marylou.nos-oignons.net,9001,9030,0,1,1,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-02-21,TETANEUTRAL-NET-AS - FR,197422,59800,[2001:67c:2608::1]:9001
kree,SK,17579,329,85.248.227.165,85.248.227.165,9003,445,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-05-16,GTS-SK-AS Bratislava- Slovak Republic- CZ,5578,28400,[2a00:1298:8011:212::165]:9005
Cloveri,NL,17346,298,84.80.80.69,ip54505045.speed.planet.nl,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2015-12-25,KPN This macro reflects our filtering-policy on- NL,1136,43500,None
Dhalgren,DE,17318,1706,46.165.230.5,tor-exit.dhalgren.org,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2015-08-28,LEASEWEB-DE - DE,28753,57400,None
anonymiton,DE,17294,1154,138.201.132.17,static.17.132.201.138.clients.your-server.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-08-13,HETZNER-AS - DE,24940,83300,None
SEC6xFreeBSD64,NL,17054,347,192.87.28.28,anonymous6.sec.nl,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on FreeBSD,0,0,2013-05-26,SMEERBOEL-AS SMEERBOEL BV- EU,1102,66200,None
PhantomTrain5,US,17036,4706,65.19.167.132,65.19.167.132,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2015-12-11,HURRICANE - Hurricane Electric- Inc.- US,6939,34900,None
Unnamed,US,16943,351,207.244.70.35,207.244.70.35,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-08-28,LEASEWEB-USA-WDC-01 - Leaseweb USA- Inc.- US,30633,46700,[2604:9a00:2010:a08d:10::23]:443
radia5,FR,16769,335,91.121.230.218,relay5.radia.tor-relays.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-08-10,OVH - FR,16276,87100,[2001:41d0:d:22a6::1:10]:443
toruser,PL,16769,1225,155.133.82.112,155.133.82.112,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2016-09-16,SPRINT-SDC - PL,197226,20,None
shadycloud,CA,16639,960,198.50.242.32,tor-exit01.sigint.bz,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-11-25,OVH - FR,16276,20,None
Outfall2,NL,16472,1121,163.172.223.200,exit2.tor.outfall.net,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-09-21,AS12876 - FR,12876,20,None
larak3v1n,FR,16399,1831,163.172.21.96,163-172-21-96.rev.poneytelecom.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-03-30,AS12876 - FR,12876,101000,None
Unnamed,DE,16394,346,217.79.179.177,.,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-04-28,MYLOC-AS - DE,24961,67000,[2001:4ba0:fff9:131:6c4f::90d3]:9001
rehm,SE,16278,395,62.102.148.67,62.102.148.67,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2014-05-01,TEKNIKBYRAN - SE,51815,35400,None
torrelay1ph3xat,AT,16204,63,86.59.119.83,tor-relay1.ph3x.at,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.0.1-alpha on Linux,0,0,2014-04-08,UTA-AS - AT,8437,65700,None
TorLand1,GB,16186,274,37.130.227.133,torland1-this.is.a.tor.exit.server.torland.is,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2014-04-08,UK2NET-AS - GB,13213,176000,[2a02:2498:e001:3c::133]:443
arachna,RO,16085,69,89.34.237.101,89.34.237.101,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2016-05-18,NETACTION - RO,25198,20,None
GermanCraft,FR,15556,32,94.23.204.175,pve.gc-mc.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-10-05,OVH - FR,16276,96100,None
tiflin,FR,15509,1837,163.172.21.117,163-172-21-117.rev.poneytelecom.eu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2016-09-27,AS12876 - FR,12876,58200,None
tornoderdednl,NL,15427,372,178.62.199.226,tor-node.rded.nl,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2014-10-09,DIGITALOCEAN-ASN-3 - NL,202018,36500,[2a03:b0c0:2:d0::b7:5001]:443
5OfNovember,FR,15321,107,62.210.247.178,torrelay.5on.42b.pm,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-09-29,AS12876 - FR,12876,64000,None
Necto6,RO,15295,1027,93.115.95.207,lh28409.voxility.net,443,80,0,1,1,0,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2015-08-28,VOXILITY - RO,3223,45300,None
Necto7,RO,15077,1027,93.115.95.216,lh28409.voxility.net,443,80,0,1,1,0,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2015-08-28,VOXILITY - RO,3223,38000,None
lovejoy,GB,14908,1230,178.62.60.37,lon.anondroid.com,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2015-10-19,DIGITALOCEAN-ASN-2 - GB,202109,66200,None
Libero,US,14825,1169,64.113.32.29,tor.t-3.net,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2014-04-08,SBBSNET - Specialized Bulletin Board Systems- US,15154,21700,None
serenitor,FR,14737,64,78.194.220.54,78.194.220.54,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-08-26,PROXAD - FR,12322,45000,None
Hermes,FR,14726,153,62.210.81.152,hermes.exit.torworld.org,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-09-30,AS12876 - FR,12876,20,None
torshark,FR,14708,2877,195.154.252.88,195-154-252-88.rev.poneytelecom.eu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-09-06,AS12876 - FR,12876,47800,None
0x3d004,DE,14635,1259,62.138.7.171,shop2.peptest.ch,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.0.0-alpha-dev on Linux,0,0,2016-08-24,PLUSSERVER-AS - DE,8972,74600,None
torrelay2ph3xat,AT,14530,63,86.59.119.88,tor-relay2.ph3x.at,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.0.1-alpha on Linux,0,0,2014-04-08,UTA-AS - AT,8437,74000,None
torpidsFRonline3,FR,14315,85,195.154.164.243,195-154-164-243.rev.poneytelecom.eu,443,80,0,0,1,0,0,1,1,1,1,Tor 0.3.0.1-alpha on Linux,0,0,2015-03-30,AS12876 - FR,12876,66300,None
turingmachine,FR,14314,303,62.210.254.132,62-210-254-132.rev.poneytelecom.eu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-09-21,AS12876 - FR,12876,77300,None
Necto,RO,14223,1218,93.115.95.201,lh28409.voxility.net,443,80,0,1,1,0,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2015-08-27,VOXILITY - RO,3223,31100,None
TorNodeNET3,NO,14215,1765,185.11.180.67,exit.norway.tor-node.net,9001,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-03-11,STAYON - NO,16234,43700,None
AVUSBerlin03,DE,14145,36,213.61.66.116,213.61.66.116,9003,9033,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-01-17,COLT - GB,8220,53300,None
bauruine203,FR,14136,343,212.83.154.33,tor-exit-2.tuxli.ch,443,8888,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-04-09,AS12876 - FR,12876,61500,None
tornado,FR,14136,2878,195.154.253.226,195-154-253-226.rev.poneytelecom.eu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-09-06,AS12876 - FR,12876,77000,None
cixx,NL,14089,293,83.162.202.182,cyberdynesys.org,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2015-03-31,XS4ALL-NL Amsterdam- NL,3265,44200,None
argenla,NL,14003,323,163.172.209.46,watchme.tor-exit.network,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.8.9 on FreeBSD,0,0,2015-10-07,AS12876 - FR,12876,52000,None
collide,DE,13936,1290,138.201.211.235,static.235.211.201.138.clients.your-server.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-09-14,HETZNER-AS - DE,24940,87400,None
bradpit,DE,13923,109,217.160.141.52,217.160.141.52,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.7 on Linux,0,0,2016-09-06,ONEANDONE-AS Brauerstrasse 48- DE,8560,61800,None
GambitCloudRelayA,GB,13839,328,149.202.97.97,gambit-tor-relay-alpha.gambitcloud.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.6 on Linux,0,0,2016-08-05,OVH - FR,16276,51800,None
LongShadow,FR,13819,678,149.202.177.19,149.202.177.19,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-10-22,OVH - FR,16276,109000,None
Necto2,RO,13816,1217,93.115.95.202,lh28409.voxility.net,443,80,0,1,1,0,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2015-08-28,VOXILITY - RO,3223,33700,None
ToolspireRelay,DE,13718,61,138.201.83.171,newton.toolspire.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.12 on Linux,0,0,2016-08-14,HETZNER-AS - DE,24940,69500,[2a01:4f8:172:1f6a::d0d0]:9001
bauruine204,FR,13693,341,212.83.154.33,tor-exit-2.tuxli.ch,8443,8080,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-04-09,AS12876 - FR,12876,44500,None
catatafish2,DE,13690,445,136.243.187.165,catatafish2.codingrat.tk,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-02-29,HETZNER-AS - DE,24940,76000,None
